Order,State,Substate Region,"Small Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
444,West Virginia,Region II,8.26%,6.47%,10.49%,4
445,West Virginia,Region III,8.15%,6.32%,10.46%,4
446,West Virginia,Region IV,7.60%,6.12%,9.40%,4
447,West Virginia,Region V,7.70%,6.16%,9.60%,4
448,West Virginia,Region VI,7.95%,6.27%,10.02%,4
449,Wisconsin,Wisconsin,6.82%,5.80%,8.00%,3
450,Wisconsin,Milwaukee,6.64%,5.23%,8.40%,4
451,Wisconsin,Northeastern,7.12%,5.65%,8.94%,4
452,Wisconsin,Northern,6.61%,5.06%,8.59%,4
453,Wisconsin,Southeastern,6.83%,5.37%,8.64%,4
454,Wisconsin,Southern,6.71%,5.23%,8.57%,4
455,Wisconsin,Western,6.85%,5.30%,8.81%,4
456,Wyoming,Wyoming,7.10%,6.12%,8.21%,3
457,Wyoming,Judicial District 1 (Laramie),7.23%,5.77%,9.04%,4
458,Wyoming,Judicial District 2,7.41%,5.93%,9.24%,4
459,Wyoming,Judicial District 3,7.11%,5.65%,8.90%,4
460,Wyoming,Judicial District 4,7.14%,5.52%,9.19%,4
461,Wyoming,Judicial District 5,6.82%,5.25%,8.81%,4
462,Wyoming,Judicial District 6,6.88%,5.38%,8.76%,4
463,Wyoming,Judicial District 7 (Natrona),7.42%,5.79%,9.47%,4
464,Wyoming,Judicial District 8,6.93%,5.39%,8.86%,4
465,Wyoming,Judicial District 9,6.75%,5.21%,8.71%,4
