Order,State,Substate Region,"Small Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
444,West Virginia,Region II,4.91%,3.67%,6.55%,4
445,West Virginia,Region III,4.68%,3.43%,6.37%,4
446,West Virginia,Region IV,4.23%,3.29%,5.44%,4
447,West Virginia,Region V,4.74%,3.67%,6.12%,4
448,West Virginia,Region VI,4.62%,3.48%,6.11%,4
449,Wisconsin,Wisconsin,3.92%,3.29%,4.66%,3
450,Wisconsin,Milwaukee,4.00%,3.05%,5.23%,4
451,Wisconsin,Northeastern,3.98%,3.04%,5.19%,4
452,Wisconsin,Northern,3.84%,2.81%,5.23%,4
453,Wisconsin,Southeastern,3.68%,2.78%,4.86%,4
454,Wisconsin,Southern,3.85%,2.91%,5.07%,4
455,Wisconsin,Western,4.23%,3.22%,5.55%,4
456,Wyoming,Wyoming,4.00%,3.40%,4.69%,3
457,Wyoming,Judicial District 1 (Laramie),3.77%,2.90%,4.88%,4
458,Wyoming,Judicial District 2,4.92%,3.88%,6.21%,4
459,Wyoming,Judicial District 3,4.00%,3.05%,5.24%,4
460,Wyoming,Judicial District 4,3.96%,2.95%,5.29%,4
461,Wyoming,Judicial District 5,3.77%,2.79%,5.07%,4
462,Wyoming,Judicial District 6,3.98%,3.07%,5.14%,4
463,Wyoming,Judicial District 7 (Natrona),3.90%,2.98%,5.08%,4
464,Wyoming,Judicial District 8,4.06%,3.03%,5.42%,4
465,Wyoming,Judicial District 9,3.86%,2.90%,5.14%,4
