Order,State,Substate Region,"Small Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
444,West Virginia,Region II,2.55%,1.89%,3.44%,4
445,West Virginia,Region III,2.56%,1.85%,3.54%,4
446,West Virginia,Region IV,2.86%,2.17%,3.75%,4
447,West Virginia,Region V,3.05%,2.27%,4.07%,4
448,West Virginia,Region VI,2.80%,2.04%,3.82%,4
449,Wisconsin,Wisconsin,2.52%,2.05%,3.09%,3
450,Wisconsin,Milwaukee,3.22%,2.37%,4.38%,4
451,Wisconsin,Northeastern,2.36%,1.73%,3.20%,4
452,Wisconsin,Northern,2.27%,1.65%,3.12%,4
453,Wisconsin,Southeastern,2.45%,1.84%,3.26%,4
454,Wisconsin,Southern,2.34%,1.76%,3.12%,4
455,Wisconsin,Western,2.43%,1.81%,3.26%,4
456,Wyoming,Wyoming,2.27%,1.86%,2.77%,3
457,Wyoming,Judicial District 1 (Laramie),2.38%,1.75%,3.22%,4
458,Wyoming,Judicial District 2,2.91%,2.10%,4.02%,4
459,Wyoming,Judicial District 3,2.08%,1.53%,2.82%,4
460,Wyoming,Judicial District 4,2.09%,1.51%,2.88%,4
461,Wyoming,Judicial District 5,2.09%,1.53%,2.85%,4
462,Wyoming,Judicial District 6,2.32%,1.69%,3.19%,4
463,Wyoming,Judicial District 7 (Natrona),2.40%,1.74%,3.31%,4
464,Wyoming,Judicial District 8,2.09%,1.54%,2.82%,4
465,Wyoming,Judicial District 9,2.03%,1.46%,2.81%,4
